City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Yarada,IN,77.32,mist,17.65,83.2667,
6,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,
7,Rikitea,PF,76.89,overcast clouds,-23.1203,-134.9692,
11,Butaritari,KI,81.25,light rain,3.0707,172.7902,
18,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,
23,Dingle,PH,81.27,broken clouds,10.9995,122.6711,
26,Vaini,TO,86.16,broken clouds,-21.2,-175.2,
40,Kapaa,US,78.78,heavy intensity rain,22.0752,-159.319,
44,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,
49,Quatre Cocos,MU,77.11,clear sky,-20.2078,57.7625,
57,Kendari,ID,84.83,overcast clouds,-3.945,122.4989,
62,Piacabucu,BR,77.04,scattered clouds,-10.4056,-36.4344,
64,Teknaf,BD,77.7,overcast clouds,20.8624,92.3058,
70,Souillac,MU,77.38,light rain,-20.5167,57.5167,
71,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,
75,Nouakchott,MR,75.13,overcast clouds,18.0858,-15.9785,
76,Gladstone,AU,84.13,broken clouds,-23.85,151.25,
78,Emerald,AU,84.34,light rain,-23.5333,148.1667,
80,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,
81,Hilo,US,79.29,moderate rain,19.7297,-155.09,
91,Ygatimi,PY,77.49,overcast clouds,-24.0833,-55.5,
93,Sinnamary,GF,76.68,moderate rain,5.3833,-52.95,
96,Hithadhoo,MV,81.39,overcast clouds,-0.6,73.0833,
101,Lorengau,PG,86.0,moderate rain,-2.0226,147.2712,
114,Bengkulu,ID,80.74,overcast clouds,-3.8004,102.2655,
116,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,
128,Atuona,PF,78.87,clear sky,-9.8,-139.0333,
130,Amahai,ID,84.22,light rain,-3.3333,128.9167,
131,Alyangula,AU,89.47,scattered clouds,-13.8483,136.4192,
135,Kavieng,PG,83.88,light rain,-2.5744,150.7967,
139,Parrita,CR,83.97,scattered clouds,9.5201,-84.3225,
140,Cabo San Lucas,MX,76.51,scattered clouds,22.8909,-109.9124,
141,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,
146,Kudahuvadhoo,MV,81.91,scattered clouds,2.6708,72.8944,
150,Kavaratti,IN,80.69,overcast clouds,10.5669,72.642,
152,Warrnambool,AU,79.81,broken clouds,-38.3833,142.4833,
154,Poum,NC,81.1,clear sky,-20.2333,164.0167,
161,Moree,AU,80.62,light rain,-29.4667,149.85,
168,Yulara,AU,85.84,clear sky,-25.2406,130.9889,
173,Ambulu,ID,77.38,light rain,-8.345,113.6058,
174,San Patricio,US,75.18,overcast clouds,28.017,-97.5169,
184,Grand-Lahou,CI,79.65,broken clouds,5.1367,-5.0242,
185,Japura,ID,84.7,overcast clouds,-0.3167,102.35,
187,Saint-Joseph,RE,75.56,few clouds,-21.3667,55.6167,
192,Codrington,AU,76.73,overcast clouds,-38.2667,141.9667,
