City_ID,City,Lat,Lng,Feels Like,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
0,Oranjemund,-28.55,16.4333,63.59,63.32,63.32,90,52,6.51,NA,broken clouds,2021-12-05 20:06:09
1,Chokurdakh,70.6333,147.9167,-54.87,-42.27,-42.27,100,61,5.32,RU,broken clouds,2021-12-05 20:06:10
2,Lamar,33.6668,-95.5836,73.0,69.78,75.36,78,90,18.41,US,overcast clouds,2021-12-05 20:06:10
3,Saint-Philippe,-21.3585,55.7679,77.0,75.22,76.59,80,37,10.31,RE,scattered clouds,2021-12-05 20:06:10
4,Kodiak,57.79,-152.4072,21.58,27.91,27.91,93,20,5.75,US,few clouds,2021-12-05 20:06:11
5,Tirumullaivasal,11.2333,79.8333,80.15,78.67,78.67,83,25,6.31,IN,scattered clouds,2021-12-05 20:06:11
6,Bluff,-46.6,168.3333,49.03,51.8,51.8,50,89,11.52,NZ,overcast clouds,2021-12-05 20:06:11
7,Matara,5.9485,80.5353,77.4,75.83,75.83,91,96,3.58,LK,moderate rain,2021-12-05 20:06:12
8,Kavieng,-2.5744,150.7967,89.02,82.09,82.09,80,96,7.85,PG,overcast clouds,2021-12-05 20:06:12
9,Castro,-24.7911,-50.0119,68.52,68.41,68.41,76,92,9.93,BR,overcast clouds,2021-12-05 20:06:12
10,Faanui,-16.4833,-151.75,84.81,81.01,81.01,71,46,18.99,PF,scattered clouds,2021-12-05 20:06:13
11,Saint George,37.1041,-113.5841,56.5,55.99,70.54,29,1,3.44,US,clear sky,2021-12-05 20:03:03
12,Bonfim,3.0833,-59.95,93.52,89.65,89.65,49,100,8.88,BR,overcast clouds,2021-12-05 20:06:14
13,Barrow,71.2906,-156.7887,-3.98,8.62,8.62,78,1,16.11,US,clear sky,2021-12-05 20:06:14
14,Taksimo,56.3444,114.8794,-1.17,5.25,5.25,90,100,3.11,RU,overcast clouds,2021-12-05 20:03:10
15,Honningsvag,70.9821,25.9704,13.46,26.06,26.06,82,94,23.49,NO,overcast clouds,2021-12-05 20:06:14
16,Busselton,-33.65,115.3333,59.27,58.08,60.04,75,54,16.44,AU,broken clouds,2021-12-05 20:06:15
17,Avarua,-21.2078,-159.775,87.28,80.65,80.65,89,75,6.91,CK,light rain,2021-12-05 20:06:15
18,Clyde River,70.4692,-68.5914,-1.97,10.63,10.63,85,100,39.12,CA,snow,2021-12-05 20:06:15
19,Punta Arenas,-53.15,-70.9167,52.83,55.11,55.51,44,20,24.16,CL,few clouds,2021-12-05 20:06:16
20,Fairbanks,64.8378,-147.7164,-7.73,-18.4,1.92,77,1,0.0,US,clear sky,2021-12-05 20:06:16
21,Hualmay,-11.0964,-77.6139,69.94,69.57,69.57,79,100,10.4,PE,overcast clouds,2021-12-05 20:06:17
22,Kapaa,22.0752,-159.319,75.92,74.48,77.32,69,1,1.99,US,light rain,2021-12-05 20:06:17
23,Dongtai,32.8523,120.3095,41.27,44.65,44.65,90,0,6.04,CN,clear sky,2021-12-05 20:04:58
24,Petropavlovsk-Kamchatskiy,53.0452,158.6483,13.44,21.78,21.79,58,75,6.71,RU,broken clouds,2021-12-05 20:03:20
25,Kencong,-8.2833,113.3667,78.39,76.86,76.86,88,100,2.77,ID,overcast clouds,2021-12-05 20:06:18
26,Vaini,-21.2,-175.2,86.43,80.76,80.76,83,75,10.36,TO,light rain,2021-12-05 20:06:18
27,Cardedeu,41.6398,2.3574,41.94,37.92,48.43,47,3,5.86,ES,clear sky,2021-12-05 20:06:18
28,Saskylakh,71.9167,114.0833,-36.22,-23.62,-23.62,95,100,7.9,RU,overcast clouds,2021-12-05 20:06:19
29,Srednekolymsk,67.45,153.6833,-61.24,-48.64,-48.64,99,71,4.7,RU,broken clouds,2021-12-05 20:06:19
30,Bethel,41.3712,-73.414,42.31,41.31,46.72,39,1,3.44,US,clear sky,2021-12-05 20:06:19
31,Isiro,2.7739,27.616,68.29,67.26,67.26,98,100,3.22,CD,overcast clouds,2021-12-05 20:06:20
32,Carnarvon,-24.8667,113.6333,75.74,75.27,75.27,69,0,20.71,AU,clear sky,2021-12-05 20:06:20
33,Nanortalik,60.1432,-45.2371,15.57,28.17,28.17,68,89,26.46,GL,light snow,2021-12-05 20:06:20
34,Georgetown,5.4112,100.3354,79.11,76.93,77.9,80,20,9.22,MY,few clouds,2021-12-05 20:06:21
35,Albany,42.6001,-73.9662,37.85,36.16,43.09,52,95,3.4,US,overcast clouds,2021-12-05 20:06:21
36,Lagoa,39.05,-27.9833,62.82,63.27,63.27,75,60,11.27,PT,broken clouds,2021-12-05 20:06:21
37,Marzuq,14.4,46.4667,59.85,61.84,61.84,45,5,0.76,YE,clear sky,2021-12-05 20:06:22
38,Dikson,73.5069,80.5464,-11.87,0.73,0.73,94,100,9.24,RU,overcast clouds,2021-12-05 20:06:22
39,Rikitea,-23.1203,-134.9692,76.78,75.96,75.96,75,97,7.83,PF,overcast clouds,2021-12-05 20:06:22
40,Jamestown,42.097,-79.2353,33.48,37.51,42.12,50,90,10.0,US,overcast clouds,2021-12-05 20:01:57
41,Pisco,-13.7,-76.2167,73.92,70.02,73.45,73,40,6.91,PE,scattered clouds,2021-12-05 20:06:23
42,Ponta Do Sol,32.6667,-17.1,64.42,63.12,66.83,74,64,7.47,PT,broken clouds,2021-12-05 20:06:23
43,Tshikapa,-6.4167,20.8,71.1,69.76,69.76,99,100,3.18,CD,light rain,2021-12-05 20:06:23
44,Harper,4.375,-7.7169,86.09,80.85,80.85,80,9,8.57,LR,clear sky,2021-12-05 20:06:24
45,Ushuaia,-54.8,-68.3,48.69,51.62,51.62,47,73,13.8,AR,light rain,2021-12-05 20:06:24
46,San Patricio,28.017,-97.5169,82.53,74.82,86.09,62,100,17.2,US,overcast clouds,2021-12-05 20:06:25
47,Nola,40.922,14.5329,48.18,47.64,51.58,88,100,5.01,IT,overcast clouds,2021-12-05 20:07:25
48,Port Lincoln,-34.7333,135.8667,55.99,56.71,56.71,83,0,2.57,AU,clear sky,2021-12-05 20:07:25
49,Cardston,49.2,-113.3019,3.6,12.43,15.04,75,100,5.53,CA,overcast clouds,2021-12-05 20:07:26
50,Hobart,-42.8794,147.3294,51.58,51.26,54.27,69,40,1.99,AU,scattered clouds,2021-12-05 20:07:26
51,Rundu,-17.9333,19.7667,71.04,70.92,70.92,71,95,10.02,NA,light rain,2021-12-05 20:07:26
52,North Bend,43.4065,-124.2243,49.12,46.87,51.71,89,1,6.91,US,clear sky,2021-12-05 20:07:26
53,Mandera,3.9366,41.867,83.46,84.65,84.65,37,60,8.21,KE,broken clouds,2021-12-05 20:07:27
54,Kongoussi,13.3258,-1.5347,78.71,80.76,80.76,11,4,8.68,BF,clear sky,2021-12-05 20:06:18
55,Shakawe,-18.3667,21.85,73.47,73.54,73.54,61,100,3.91,BW,overcast clouds,2021-12-05 20:07:27
56,Porto Novo,6.4965,2.6036,88.88,82.36,82.36,77,97,9.55,BJ,overcast clouds,2021-12-05 20:07:28
57,New Norfolk,-42.7826,147.0587,49.8,50.9,53.92,63,91,1.01,AU,overcast clouds,2021-12-05 20:07:28
58,Upernavik,72.7868,-56.1549,27.14,27.14,27.14,75,100,2.01,GL,overcast clouds,2021-12-05 20:07:28
59,Saint-Pierre,-21.3393,55.4781,76.91,75.29,76.68,76,20,3.44,RE,few clouds,2021-12-05 20:07:29
60,Atuona,-9.8,-139.0333,78.71,78.71,78.71,72,8,20.0,PF,clear sky,2021-12-05 20:07:29
61,Mackay,-21.15,149.2,73.9,73.69,78.04,67,81,13.96,AU,broken clouds,2021-12-05 20:07:29
62,Raahe,64.6833,24.4833,-11.81,-0.31,-0.31,92,15,5.66,FI,few clouds,2021-12-05 20:07:30
63,Hermanus,-34.4187,19.2345,62.11,61.81,61.9,94,100,11.86,ZA,light rain,2021-12-05 20:07:30
64,Iqaluit,63.7506,-68.5145,-2.9,9.7,9.7,66,100,21.0,CA,overcast clouds,2021-12-05 20:07:30
65,Yellowknife,62.456,-114.3525,-29.18,-18.71,-16.58,91,26,5.93,CA,scattered clouds,2021-12-05 20:07:31
66,Yantal,56.8471,105.2542,13.1,22.01,22.01,94,100,7.45,RU,light snow,2021-12-05 20:07:31
67,Arraial Do Cabo,-22.9661,-42.0278,79.88,78.66,78.66,78,20,17.27,BR,few clouds,2021-12-05 20:07:31
68,Nioro,13.35,-15.75,82.13,85.3,85.3,16,85,7.63,GM,overcast clouds,2021-12-05 20:07:32
69,Sindor,62.8629,51.8905,-2.65,-2.65,-2.65,95,64,2.57,RU,broken clouds,2021-12-05 20:07:32
70,Port Augusta,-32.5,137.7667,66.38,66.97,66.97,64,83,3.53,AU,broken clouds,2021-12-05 20:07:32
71,Puerto Ayora,-0.7393,-90.3518,76.23,75.16,75.16,82,64,9.62,EC,broken clouds,2021-12-05 20:07:33
72,Port Alfred,-33.5906,26.891,70.63,69.55,69.55,94,100,13.62,ZA,overcast clouds,2021-12-05 20:07:33
73,Fecamp,49.7579,0.3746,36.93,43.56,47.28,74,94,25.26,FR,overcast clouds,2021-12-05 20:07:33
74,Aswan,24.0934,32.907,60.4,63.09,63.09,28,5,12.57,EG,clear sky,2021-12-05 20:07:34
75,Milkovo,54.7167,158.6167,-1.86,7.09,7.09,89,95,4.76,RU,overcast clouds,2021-12-05 20:07:34
76,Wasilla,61.5814,-149.4394,14.11,7.48,20.39,73,90,0.0,US,overcast clouds,2021-12-05 20:07:34
77,Olga,43.7444,135.2892,23.14,29.59,29.59,89,12,6.26,RU,few clouds,2021-12-05 20:07:35
78,Olafsvik,64.8945,-23.7142,40.1,41.94,41.94,89,100,3.42,IS,moderate rain,2021-12-05 20:07:35
79,Mangai,-4.05,19.5333,71.98,70.57,70.57,99,100,2.35,CD,overcast clouds,2021-12-05 20:07:35
80,Imeni Tsyurupy,55.4957,38.6506,24.84,28.15,28.78,98,95,3.09,RU,overcast clouds,2021-12-05 20:07:36
81,Pahrump,36.2083,-115.9839,63.23,63.95,73.06,19,5,1.99,US,clear sky,2021-12-05 20:05:19
82,Chokwe,-24.5333,32.9833,88.23,87.42,87.42,44,75,10.38,MZ,broken clouds,2021-12-05 20:07:36
83,Chimoio,-19.1164,33.4833,71.71,71.26,71.26,77,1,6.4,MZ,clear sky,2021-12-05 20:07:36
84,Bredasdorp,-34.5322,20.0403,61.54,61.29,61.29,94,100,6.96,ZA,light rain,2021-12-05 20:07:37
85,Sunrise Manor,36.2111,-115.0731,69.03,66.29,76.19,17,1,0.0,US,clear sky,2021-12-05 20:07:37
86,Dunedin,-45.8742,170.5036,53.1,54.81,54.81,66,100,3.0,NZ,overcast clouds,2021-12-05 20:07:38
87,Vestmannaeyjar,63.4427,-20.2734,37.49,44.96,44.96,90,100,17.74,IS,overcast clouds,2021-12-05 20:07:38
88,Sur,22.5667,59.5289,74.17,73.8,73.8,70,0,6.44,OM,clear sky,2021-12-05 20:07:38
89,Kahului,20.8947,-156.47,75.63,72.66,75.22,81,90,4.61,US,light rain,2021-12-05 20:07:39
90,Wilkie,52.4168,-108.7014,-15.7,-3.1,-3.1,78,98,12.62,CA,overcast clouds,2021-12-05 20:04:59
91,Arman,59.7,150.1667,-28.05,-15.45,-15.45,95,33,6.22,RU,scattered clouds,2021-12-05 20:07:39
